run_id,temperature,tags,summary,latency_ms,reviewer_changed,planner_input_tokens,planner_output_tokens,reviewer_input_tokens,reviewer_output_tokens
1,0.7,"[""food recall"", ""allergen warning"", ""product safety""]","Milano is recalling cookies due to undeclared peanuts, advising consumers to return them for a refund.",68808.784,False,164,46,242,75
2,0.7,"[""food recall"", ""allergen safety"", ""product return""]","Milano is recalling cookies due to undeclared peanuts, advising consumers to return them for a refund.",32212.697,False,164,46,242,77
3,0.7,"[""food recall"", ""allergy warning"", ""product safety""]","Milano is recalling cookies due to undeclared peanuts, risking allergic reactions and offering refunds.",30575.28,False,164,43,239,77
4,0.7,"[""food recall"", ""allergen warning"", ""product safety""]","Milano is recalling cookies due to undeclared peanuts, advising consumers to return them for a refund.",33773.592,False,164,46,242,88
5,0.7,"[""food recall"", ""allergen safety"", ""product return""]","Milano recalls cookies with undeclared peanuts, instructing customers to return for a refund.",29609.815,True,164,46,242,68
6,0.7,"[""food recall"", ""allergen warning"", ""product safety""]","Milano is recalling cookies due to undeclared peanuts, advising customers to return them for a refund.",34075.179,False,164,46,242,90
7,0.7,"[""food recall"", ""allergen safety"", ""product return""]","Milano recalls cookies with undeclared peanuts, instructing customers to return for refund.",27750.474,True,164,46,242,67
8,0.7,"[""food safety"", ""product recall"", ""allergen warning""]","Milano is recalling cookies due to undeclared peanuts, posing a risk to allergic customers.",25714.397,False,164,44,240,82
9,0.7,"[""food safety"", ""product recall"", ""allergy warning""]","Milano is recalling cookies due to undeclared peanuts, risking allergic reactions and offering refunds.",23997.9,False,164,43,239,72
10,0.7,"[""food recall"", ""allergen warning"", ""product safety""]","Milano is recalling cookies due to undeclared peanuts, advising consumers to return them for a refund.",25791.445,False,164,46,242,77
11,0.7,"[""food recall"", ""allergen warning"", ""product safety""]","Milano is recalling cookies due to undeclared peanuts, advising consumers to return them for a refund.",22960.303,False,164,46,242,77
